,male,female,others,wrong,noInfo,noMeta,unknown,all
1,259541,50527,727,0,3232,1852,168055,483934
2,291364,65676,758,0,3797,2255,195218,559068
3,296010,66392,599,0,3697,2192,201367,570257
4,311627,70012,670,0,3910,2134,210755,599108
5,337035,72028,1444,0,4019,2586,227701,644813
6,324064,73949,589,0,4070,2467,219866,625005
7,324101,74603,620,0,4117,2429,221600,627470
8,317547,71977,474,0,3915,2321,214266,610500
9,324403,70976,663,0,3777,2900,213625,616344
10,344556,78048,690,0,4285,3224,235467,666270
11,339918,72495,593,0,4413,2538,224893,644850
12,332868,71020,628,0,4139,2490,221262,632407
13,302638,63574,616,0,4029,2063,204867,577787
14,295353,62540,558,0,3965,2610,201333,566359
15,320661,70256,645,0,3918,2417,217298,615195
16,332012,71960,438,0,4514,2613,228539,640076
17,327193,69076,442,0,4343,2528,221862,625444
18,316161,66292,549,0,4118,2455,216490,606065
19,302081,66816,675,0,3756,2190,210282,585800
20,287258,65707,408,0,3726,2075,200659,559833
21,270957,60112,715,0,3448,1931,184692,521855
22,237216,53941,481,0,3017,1927,161769,458351
23,256289,58058,510,0,3472,1954,170580,490863
24,261786,54015,653,0,3377,1945,174348,496124
25,258915,55924,647,0,3261,1909,173613,494269
26,245192,54766,495,0,3446,1832,166956,472687
27,200824,43207,423,0,2978,1357,140277,389066
28,229486,49354,424,0,3160,1653,156165,440242
29,239320,51823,551,0,3084,1821,155105,451704
30,250373,52058,419,0,3248,1953,164253,472304
31,231415,48482,458,0,3147,1631,151974,437107
32,224819,47860,823,0,3116,1914,150415,428947
33,223672,48248,818,0,3176,1579,149527,427020
34,230301,49962,522,0,2919,1472,153798,438974
35,263999,54274,963,0,3509,1752,180524,505021
36,254765,55324,537,0,3317,1664,168467,484074
37,282607,60773,528,0,3797,1949,185226,534880
38,278587,62037,643,0,3387,2268,184379,531301
39,286790,63428,450,0,3812,2074,185671,542225
40,270499,60361,585,0,3502,2346,177647,514940
41,259464,58163,667,0,3602,2135,173697,497728
42,276867,60910,764,0,3725,1880,185478,529624
43,283852,60522,853,0,3908,2020,189488,540643
44,275836,59704,554,0,3940,2089,187687,529810
45,267649,57351,722,0,3690,1933,178219,509564
46,261074,57954,832,0,3532,1732,170992,496116
47,227982,47329,560,0,3104,1621,148261,428857
48,255053,53597,467,0,3337,1795,164040,478289
49,254053,53866,508,0,3448,1775,170791,484441
50,241848,51464,737,0,3266,1757,158137,457209
51,224662,47761,732,0,3114,1619,147625,425513
52,140146,25977,276,0,1929,964,92826,262118
53,0,0,0,0,0,0,0,0
sum,14252689,3092529,32103,0,186508,106590,9558032,27228451
